n_estimators,max_depth,min_samples_split,min_samples_leaf,max_features,class_weight,precision,recall,f1,roc_auc,pr_auc
100,15.0,5,1,sqrt,balanced_subsample,0.9703703703703703,0.8851351351351351,0.9257950530035336,0.9990185920261514,0.988763320671214
100,15.0,5,1,log2,balanced,0.9078014184397163,0.8648648648648649,0.8858131487889274,0.996395423501255,0.9658194506095946
100,15.0,5,1,log2,balanced_subsample,0.9769230769230769,0.8581081081081081,0.9136690647482014,0.9973950732590042,0.9770112536772985
100,15.0,5,2,sqrt,balanced,0.8881578947368421,0.9121621621621622,0.9,0.9979642169167007,0.9778523775034443
100,15.0,5,2,sqrt,balanced_subsample,0.9477611940298507,0.8581081081081081,0.900709219858156,0.9979313817056797,0.9773073680860901
100,15.0,5,2,log2,balanced,0.7321428571428571,0.831081081081081,0.7784810126582279,0.9856729029245228,0.8898211793657147
100,15.0,5,2,log2,balanced_subsample,0.8625954198473282,0.7635135135135135,0.8100358422939068,0.9717690152355379,0.8699126477984862
100,15.0,5,5,sqrt,balanced,0.8470588235294118,0.972972972972973,0.9056603773584906,0.9985260638608371,0.9830059237002949
100,15.0,5,5,sqrt,balanced_subsample,0.8904109589041096,0.8783783783783784,0.8843537414965986,0.9969061934504698,0.9688147377581912
100,15.0,5,5,log2,balanced,0.7791411042944786,0.8581081081081081,0.8167202572347267,0.9898320296538439,0.897931550802362
100,15.0,5,5,log2,balanced_subsample,0.8129032258064516,0.8513513513513513,0.8316831683168316,0.9836188780573231,0.8979830186860785
100,15.0,10,1,sqrt,balanced,0.9640287769784173,0.9054054054054054,0.9337979094076655,0.9986829432023816,0.9856907064332032
100,15.0,10,1,sqrt,balanced_subsample,0.9699248120300752,0.8716216216216216,0.9181494661921709,0.9987267234837429,0.9856534311876887
100,15.0,10,1,log2,balanced,0.8758620689655172,0.8581081081081081,0.8668941979522184,0.9953775319596054,0.9528577172532972
100,15.0,10,1,log2,balanced_subsample,0.9692307692307692,0.8513513513513513,0.9064748201438849,0.9975519526005487,0.9749992795573572
100,15.0,10,2,sqrt,balanced,0.8881987577639752,0.9662162162162162,0.9255663430420712,0.9986902399159419,0.9853516124317443
100,15.0,10,2,sqrt,balanced_subsample,0.9290780141843972,0.8851351351351351,0.9065743944636678,0.9972345455606795,0.9728109042211573
100,15.0,10,2,log2,balanced,0.751412429378531,0.8986486486486487,0.8184615384615385,0.991006800537038,0.9059377360129928
100,15.0,10,2,log2,balanced_subsample,0.82,0.831081081081081,0.825503355704698,0.9803353569552273,0.8900554112682474
100,15.0,10,5,sqrt,balanced,0.8470588235294118,0.972972972972973,0.9056603773584906,0.9985260638608371,0.9830059237002949
100,15.0,10,5,sqrt,balanced_subsample,0.8904109589041096,0.8783783783783784,0.8843537414965986,0.9969061934504698,0.9688147377581912
100,15.0,10,5,log2,balanced,0.7791411042944786,0.8581081081081081,0.8167202572347267,0.9898320296538439,0.897931550802362
100,15.0,10,5,log2,balanced_subsample,0.8129032258064516,0.8513513513513513,0.8316831683168316,0.9836188780573231,0.8979830186860785
100,,2,1,sqrt,balanced,1.0,0.8716216216216216,0.9314079422382672,0.9991827680812562,0.9902189363236533
100,,2,1,sqrt,balanced_subsample,1.0,0.8243243243243243,0.9037037037037037,0.9988854270036776,0.986759416487359
100,,2,1,log2,balanced,0.9918032786885246,0.8175675675675675,0.8962962962962963,0.998144810577316,0.9806910307780992
100,,2,1,log2,balanced_subsample,1.0,0.5878378378378378,0.7404255319148936,0.9978529420349075,0.9767812152031649
100,,2,2,sqrt,balanced,0.9047619047619048,0.8986486486486487,0.9016949152542373,0.99793867841924,0.9792300093308215
100,,2,2,sqrt,balanced_subsample,0.9477611940298507,0.8581081081081081,0.900709219858156,0.9971032047165956,0.9704263646557603
100,,2,2,log2,balanced,0.8695652173913043,0.8108108108108109,0.8391608391608392,0.9852971221761718,0.9106740859258595
100,,2,2,log2,balanced_subsample,0.8515625,0.7364864864864865,0.7898550724637681,0.9770737259938124,0.8700539546887428
100,,2,5,sqrt,balanced,0.8411764705882353,0.9662162162162162,0.89937106918239,0.9983947230167532,0.9819754342945428
100,,2,5,sqrt,balanced_subsample,0.900709219858156,0.8581081081081081,0.8788927335640139,0.99793867841924,0.9768152965593352
100,,2,5,log2,balanced,0.7844311377245509,0.8851351351351351,0.8317460317460318,0.9910432841048392,0.8994731238814068
100,,2,5,log2,balanced_subsample,0.7976190476190477,0.9054054054054054,0.8481012658227848,0.9890075010215398,0.9103921427067121
100,,5,1,sqrt,balanced,1.0,0.8783783783783784,0.935251798561151,0.9993359990660207,0.9922270377576792
